,tconst,ordering,nconst,category,job,characters
191,tt0000110,1,nm0420198,actor,\N,"[""Rip Van Winkle""]"
192,tt0000110,2,nm0005690,director,\N,\N
193,tt0000110,3,nm0410331,writer,"story ""Rip Van Winkle""",\N
194,tt0000110,4,nm0005658,cinematographer,\N,\N
195,tt0000111,1,nm0420198,actor,\N,"[""Rip Van Winkle""]"
196,tt0000111,2,nm0005690,director,\N,\N
197,tt0000111,3,nm0410331,writer,"story ""Rip Van Winkle""",\N
198,tt0000111,4,nm0005658,cinematographer,\N,\N
199,tt0000112,1,nm0420198,actor,\N,"[""Rip Van Winkle""]"
200,tt0000112,2,nm0005690,director,\N,\N
201,tt0000112,3,nm0410331,writer,"story ""Rip Van Winkle""",\N
202,tt0000112,4,nm0005658,cinematographer,\N,\N
203,tt0000113,1,nm0420198,actor,\N,"[""Rip Van Winkle""]"
204,tt0000113,2,nm0005690,director,\N,\N
205,tt0000113,3,nm0410331,writer,"story ""Rip Van Winkle""",\N
206,tt0000113,4,nm0005658,cinematographer,\N,\N
207,tt0000114,1,nm0617588,director,\N,\N
208,tt0000115,1,nm0617588,director,\N,\N
209,tt0000116,1,nm0617588,director,\N,\N
210,tt0000117,1,nm0234288,director,\N,\N
211,tt0000118,1,nm0617588,director,\N,\N
212,tt0000119,1,nm0617588,director,\N,\N
213,tt0000120,1,nm0617588,director,\N,\N
214,tt0000121,1,nm0832461,actor,\N,"[""The Soldier""]"
215,tt0000121,2,nm0780534,actress,\N,"[""The Girl""]"
216,tt0000121,3,nm5718242,actress,\N,"[""The Woman""]"
217,tt0000121,4,nm0609678,director,\N,\N
218,tt0000121,5,nm0666972,producer,producer,\N
219,tt0000122,1,nm0617588,director,\N,\N
220,tt0000123,1,nm0617588,self,\N,"[""Self (stage magician)""]"
221,tt0000124,1,nm0617588,director,\N,\N
222,tt0000125,1,nm0666972,producer,producer,\N
223,tt0000126,1,nm0617588,director,\N,\N
224,tt0000127,1,nm0617588,director,\N,\N
225,tt0000128,1,nm0617588,director,\N,\N
226,tt0000129,1,nm0617588,director,\N,\N
227,tt0000130,1,nm0617588,director,\N,\N
228,tt0000131,1,nm0617588,actor,\N,"[""L'homme qui essaie de dormir""]"
229,tt0000132,1,nm9342429,actress,\N,"[""La Serveuse""]"
230,tt0000132,2,nm0577734,actor,\N,"[""Un joueur de cartes""]"
231,tt0000132,3,nm0617588,actor,\N,"[""Un joueur de cartes""]"
232,tt0000132,4,nm3029234,actress,\N,"[""La petite fille""]"
233,tt0000133,1,nm0617588,director,\N,\N
234,tt0000135,1,nm0005690,director,\N,\N
235,tt0000135,2,nm0005658,cinematographer,\N,\N
236,tt0000137,1,nm0349785,director,\N,\N
237,tt0000138,1,nm0617588,actor,\N,"[""Inn Guest""]"
238,tt0000139,1,nm0349785,director,\N,\N
239,tt0000140,1,nm0349785,director,\N,\N
240,tt0000141,1,nm0349785,director,\N,\N
241,tt0000142,1,nm0168621,actor,\N,\N
242,tt0000142,2,nm0924920,director,\N,\N
243,tt0000142,3,nm0374658,cinematographer,\N,\N
244,tt0000143,1,nm0349785,director,\N,\N
245,tt0000144,1,nm0349785,director,\N,\N
246,tt0000145,1,nm0349785,director,\N,\N
247,tt0000146,1,nm0349785,director,\N,\N
248,tt0000147,1,nm0179163,self,\N,"[""Self""]"
249,tt0000147,2,nm0280615,self,\N,"[""Self""]"
250,tt0000147,3,nm4082222,self,\N,"[""Self - Sullivan's Manager""]"
251,tt0000147,4,nm4081458,self,\N,"[""Self - Referee""]"
252,tt0000147,5,nm0714557,director,\N,\N
253,tt0000147,6,nm0103755,producer,producer,\N
254,tt0000147,7,nm2256592,self,\N,"[""Self - Master of Ceremonies""]"
255,tt0000148,1,nm0349785,director,\N,\N
256,tt0000149,1,nm0617588,director,\N,\N
257,tt0000150,1,nm0349785,director,\N,\N
258,tt0000151,1,nm0194945,actress,\N,\N
259,tt0000151,2,nm0617588,director,\N,\N
260,tt0000152,1,nm0617588,actor,\N,\N
261,tt0000153,1,nm0808310,director,\N,\N
262,tt0000154,1,nm0010291,director,\N,\N
263,tt0000155,1,nm0617588,director,\N,\N
264,tt0000156,1,nm0617588,director,\N,\N
265,tt0000157,1,nm0349785,director,\N,\N
266,tt0000158,1,nm0349785,director,\N,\N
267,tt0000159,1,nm0617588,director,\N,\N
268,tt0000160,1,nm0095816,director,\N,\N
269,tt0000160,2,nm0666972,producer,producer,\N
270,tt0000161,1,nm0349785,director,\N,\N
271,tt0000162,1,nm0698645,director,\N,\N
272,tt0000162,2,nm0525908,producer,producer,\N
273,tt0000162,3,nm0525910,producer,producer,\N
274,tt0000163,1,nm0349785,director,\N,\N
275,tt0000164,1,nm0349785,director,\N,\N
276,tt0000165,1,nm0024876,actor,\N,\N
277,tt0000165,2,nm0278321,actor,\N,\N
278,tt0000165,3,nm0005717,actor,\N,\N
279,tt0000165,4,nm0556371,actor,\N,\N
280,tt0000165,5,nm0083196,cinematographer,\N,\N
281,tt0000165,6,nm0563758,actor,\N,\N
282,tt0000166,1,nm0005717,director,\N,\N
283,tt0000167,1,nm0422809,director,\N,\N
284,tt0000168,1,nm0005717,director,\N,\N
285,tt0000169,1,nm0698645,director,\N,\N
286,tt0000169,2,nm0677318,producer,producer,\N
287,tt0000170,1,nm0666972,director,\N,\N
288,tt0000171,1,nm0349785,director,\N,\N
289,tt0000172,1,nm0809419,actress,\N,\N
290,tt0000172,2,nm0338379,actor,\N,"[""Professor""]"
291,tt0000172,3,nm0808310,director,\N,\N
292,tt0000173,1,nm0085865,director,\N,\N
293,tt0000174,1,nm0841389,actor,\N,"[""Sausage Vendor""]"
294,tt0000174,2,nm1024447,actor,\N,"[""Sticker""]"
295,tt0000174,3,nm0471818,director,\N,\N
296,tt0000175,1,nm0795060,director,\N,\N
297,tt0000175,2,nm0666972,producer,producer,\N
298,tt0000176,1,nm0666972,producer,producer,\N
299,tt0000177,1,nm0085865,actor,\N,"[""The Burglar""]"
300,tt0000177,2,nm0807236,cinematographer,\N,\N
301,tt0000178,1,nm0692105,director,\N,\N
302,tt0000179,1,nm0617588,director,\N,\N
303,tt0000180,1,nm0349785,director,\N,\N
304,tt0000181,1,nm0809419,actress,\N,"[""Cinderella""]"
305,tt0000181,2,nm0808310,director,\N,\N
306,tt0000181,3,nm0674518,writer,"story ""Cendrillon""",\N
307,tt0000182,1,nm0666972,director,\N,\N
308,tt0000183,1,nm0808310,director,\N,\N
309,tt0000183,2,nm0241416,writer,novel,\N
310,tt0000184,1,nm0924920,director,\N,\N
311,tt0000185,1,nm0349785,director,\N,\N
312,tt0000186,1,nm0617588,director,\N,\N
313,tt0000187,1,nm0349785,director,\N,\N
314,tt0000188,1,nm0666972,director,\N,\N
315,tt0000189,1,nm0005717,director,\N,\N
316,tt0000190,1,nm0841389,actor,\N,"[""Old Philanderer""]"
317,tt0000190,2,nm1024447,actor,\N,"[""Man with Broom""]"
318,tt0000190,3,nm0471818,director,\N,\N
319,tt0000191,1,nm0349785,director,\N,\N
320,tt0000192,1,nm0518132,self,\N,"[""Self""]"
321,tt0000192,2,nm0924920,director,\N,\N
322,tt0000192,3,nm0238900,writer,"novel ""Trilby""",\N
323,tt0000192,4,nm0374658,cinematographer,\N,\N
324,tt0000193,1,nm0349785,director,\N,\N
325,tt0000194,1,nm0378408,director,\N,\N
326,tt0000195,1,nm0349785,director,\N,\N
327,tt0000196,1,nm0808310,director,\N,\N
328,tt0000196,2,nm0324473,writer,novel,\N
329,tt0000197,1,nm0349785,director,\N,\N
330,tt0000198,1,nm0349785,director,\N,\N
331,tt0000199,1,nm0666972,producer,producer,\N
332,tt0000200,1,nm1380868,self,\N,"[""Self""]"
333,tt0000201,1,nm0168621,self,\N,"[""Self""]"
334,tt0000201,2,nm0005690,director,\N,\N
335,tt0000201,3,nm0249379,producer,producer,\N
336,tt0000202,1,nm0349785,director,\N,\N
337,tt0000203,1,nm0349785,director,\N,\N
338,tt0000204,1,nm0349785,director,\N,\N
339,tt0000205,1,nm0349785,director,\N,\N
340,tt0000206,1,nm0005717,director,\N,\N
341,tt0000207,1,nm0666972,producer,producer,\N
342,tt0000208,1,nm0808310,director,\N,\N
343,tt0000209,1,nm0808310,director,\N,\N
344,tt0000210,1,nm0617588,actor,\N,\N
345,tt0000211,1,nm0194945,actress,\N,"[""Phoebe - la bonne fée""]"
346,tt0000211,2,nm0617588,actor,\N,"[""L'astronome""]"
347,tt0000212,1,nm0795060,director,\N,\N
348,tt0000213,1,nm0349785,director,\N,\N
349,tt0000214,1,nm0085865,actor,\N,"[""Hand that tears down the Spanish flag""]"
350,tt0000214,2,nm0807236,producer,producer,\N
351,tt0000215,1,nm0841389,actor,\N,\N
352,tt0000215,2,nm0471818,director,\N,\N
353,tt0000216,1,nm1997201,self,\N,"[""Self""]"
354,tt0000216,2,nm0454367,self,\N,"[""Self""]"
355,tt0000216,3,nm0005717,director,\N,\N
356,tt0000217,1,nm0808310,director,\N,\N
357,tt0000218,1,nm0617588,actor,\N,"[""Fernand Labori""]"
358,tt0000219,1,nm0808310,director,\N,\N
359,tt0000220,1,nm0666972,producer,producer,\N
360,tt0000221,1,nm0182052,director,\N,\N
361,tt0000222,1,nm0349785,director,\N,\N
362,tt0000223,1,nm0349785,director,\N,\N
363,tt0000224,1,nm0666972,producer,producer,\N
364,tt0000225,1,nm0207305,writer,story,\N
365,tt0000226,1,nm0378408,producer,producer,\N
366,tt0000227,1,nm4427898,director,\N,\N
367,tt0000227,2,nm0666972,producer,producer,\N
368,tt0000228,1,nm0349785,director,\N,\N
369,tt0000229,1,nm0857203,writer,poem,\N
370,tt0000229,2,nm0924920,producer,producer,\N
371,tt0000229,3,nm0595213,composer,\N,\N
372,tt0000230,1,nm1333156,actress,\N,"[""Cinderella""]"
373,tt0000230,2,nm0076933,actress,\N,"[""The Fairy Godmother""]"
374,tt0000230,3,nm1778224,actor,\N,"[""Prince Charming""]"
375,tt0000230,4,nm0194945,actress,\N,"[""Fairy Godmother""]"
376,tt0000230,5,nm0617588,director,\N,\N
377,tt0000230,6,nm0674518,writer,"story ""Cinderella""",\N
378,tt0000230,7,nm1778292,actor,\N,"[""Party Guest""]"
379,tt0000231,1,nm0795060,director,\N,\N
380,tt0000231,2,nm0666972,producer,producer,\N
381,tt0000232,1,nm0349785,director,\N,\N
382,tt0000233,1,nm0005717,director,\N,\N
383,tt0000234,1,nm0194945,actress,\N,"[""Cleopatre""]"
384,tt0000234,2,nm0617588,actor,\N,"[""Tomb Digger""]"
385,tt0000235,1,nm0194945,actress,\N,"[""Ayesha""]"
386,tt0000235,2,nm0617588,actor,\N,"[""The Devil""]"
387,tt0000235,3,nm0353584,writer,"novel ""She""",\N
388,tt0000236,1,nm0349785,director,\N,\N
389,tt0000237,1,nm0349785,director,\N,\N
390,tt0000238,1,nm0349785,director,\N,\N
391,tt0000239,1,nm0298291,self,\N,"[""Self""]"
392,tt0000239,2,nm0349785,director,\N,\N
393,tt0000240,1,nm0005658,cinematographer,\N,\N
394,tt0000240,2,nm0555522,cinematographer,\N,\N
395,tt0000241,1,nm0349785,director,\N,\N
396,tt0000242,1,nm0617588,actor,\N,"[""The Devil""]"
397,tt0000243,1,nm0349785,director,\N,\N
398,tt0000244,1,nm0349785,director,\N,\N
399,tt0000245,1,nm0002615,producer,producer,\N
400,tt0000246,1,nm0617588,actor,\N,"[""Magician""]"
401,tt0000247,10,nm6010696,production_designer,\N,\N
402,tt0000247,1,nm0002504,actor,\N,"[""King John""]"
403,tt0000247,2,nm0784327,actor,\N,"[""Prince Henry""]"
404,tt0000247,3,nm2259742,actor,\N,"[""Arthur""]"
405,tt0000247,4,nm0924893,actor,\N,"[""Earl of Pembroke""]"
406,tt0000247,5,nm2156608,director,\N,\N
407,tt0000247,6,nm0005690,director,\N,\N
408,tt0000247,7,nm0000636,writer,play,\N
409,tt0000247,8,nm0744231,composer,\N,\N
410,tt0000247,9,nm6114857,composer,\N,\N
411,tt0000248,1,nm0809419,actress,\N,"[""Wife""]"
412,tt0000248,2,nm0808310,actor,\N,"[""Husband""]"
413,tt0000249,1,nm0808310,director,\N,\N
414,tt0000250,1,nm0005717,director,\N,\N
415,tt0000251,1,nm0177862,director,\N,\N
416,tt0000252,1,nm0349785,director,\N,\N
417,tt0000253,1,nm0095816,director,\N,\N
418,tt0000253,2,nm0666972,producer,producer,\N
419,tt0000254,1,nm0349785,director,\N,\N
420,tt0000255,1,nm0349785,director,\N,\N
421,tt0000256,1,nm0005658,cinematographer,\N,\N
422,tt0000257,1,nm0349785,director,\N,\N
423,tt0000258,1,nm0349785,director,\N,\N
424,tt0000259,1,nm0349785,director,\N,\N
425,tt0000260,1,nm0349785,director,\N,\N
426,tt0000261,1,nm0617588,actor,\N,"[""The Sleeping Man""]"
427,tt0000262,1,nm0349785,director,\N,\N
428,tt0000264,1,nm0617588,actor,\N,"[""L'illusioniste""]"
429,tt0000265,1,nm0335788,actor,\N,"[""Chimmie Hicks""]"
430,tt0000265,2,nm0035502,cinematographer,\N,\N
431,tt0000266,1,nm0035502,cinematographer,\N,\N
432,tt0000267,1,nm0349785,director,\N,\N
433,tt0000268,1,nm0349785,director,\N,\N
434,tt0000269,1,nm0666972,director,\N,\N
